Archetype_Lineup,2020,2021,2022,2023,2024
CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | DI_3 | ED_0 | LB_1 | LB_1 | S_1 | S_2,0.281,0.0,0.0,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.294,0.0
CB_1 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.388,0.0
CB_1 | CB_3 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_1 | S_2,0.303,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.293,0.006,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.639,0.039,0.0
CB_1 | CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_3 | LB_0 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.443,0.0
CB_1 | CB_2 | CB_4 | CB_4 | DI_0 | ED_0 | ED_1 | ED_3 | LB_1 | S_4 | S_4,0.0,0.0,0.504,0.0,0.0
CB_1 | CB_2 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.316,0.0,0.0
CB_1 | CB_3 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.256,0.072,0.0
CB_1 | CB_3 | CB_4 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.068,0.582,0.0
CB_1 | CB_3 | CB_3 | DI_1 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.263,0.0,0.0
CB_1 | CB_3 | CB_3 | DI_0 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.271,0.0,0.0
CB_1 | CB_2 | CB_4 | ED_0 | ED_0 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.331,0.0,0.0
CB_1 | CB_2 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_1 | LB_1 | S_2 | S_2,0.0,0.0,0.256,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_0 | S_1,0.0,0.0,0.0,0.316,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_1 | ED_1 | LB_0 | LB_0 | S_4 | S_4,0.0,0.486,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_0 | LB_0 | S_0 | S_4,0.0,0.526,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_1 | ED_1 | LB_0 | LB_0 | S_0 | S_4,0.0,1.287,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_2 | LB_1 | S_0 | S_1 | S_2,0.348,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_3 | LB_0 | LB_1 | S_1 | S_4,0.545,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_4 | S_4,0.0,0.0,0.0,0.266,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_2 | ED_3 | LB_1 | LB_1 | S_0 | S_0,0.0,0.0,0.0,0.571,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_3 | LB_0 | LB_0 | S_4 | S_4,0.899,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_1 | ED_2 | ED_3 | LB_1 | S_2 | S_2 | S_4,0.399,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,0.292,0.016,0.0,0.006,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.271,0.072,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_3 | ED_1 | ED_1 | LB_1 | LB_1 | S_0 | S_4,0.0,0.0,0.0,0.255,0.0
CB_1 | CB_4 | CB_4 | DI_1 | ED_0 | ED_0 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.372,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.039,0.0,0.0,0.477,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,0.236,0.332,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_3 | ED_3 | LB_0 | LB_3 | S_0 | S_1,0.876,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_3 | ED_3 | LB_0 | LB_1 | S_1 | S_2,0.354,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.324,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_3 | LB_0 | LB_3 | S_0 | S_1,0.416,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.09,1.02,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.0,0.41,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_0 | LB_3 | S_0 | S_1,0.714,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_1 | DI_1 | ED_0 | ED_3 | LB_0 | LB_1 | S_4 | S_4,0.719,0.008,0.0,0.022,0.0
CB_2 | CB_3 | CB_4 | DI_2 | DI_2 | ED_0 | ED_0 | LB_3 | LB_3 | S_0 | S_4,0.253,0.0,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | ED_0 | ED_0 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.383,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_2 | ED_0 | ED_0 | ED_3 | LB_3 | S_2 | S_4 | S_4,0.0,0.324,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_0 | LB_3 | S_1 | S_2,0.0,0.478,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_0 | LB_3 | S_1 | S_2,0.0,0.251,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_0 | ED_0 | ED_1 | LB_3 | LB_3 | S_1 | S_1 | S_2,0.0,0.251,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_0 | ED_0 | ED_0 | ED_1 | LB_3 | S_1 | S_2 | S_2,0.0,0.761,0.0,0.0,0.0
CB_2 | CB_2 | CB_4 | DI_0 | DI_2 | ED_0 | ED_0 | LB_3 | LB_3 | S_1 | S_2,0.0,0.259,0.0,0.0,0.0
CB_2 | CB_2 | CB_3 | DI_2 | ED_0 | ED_0 | LB_0 | LB_1 | S_1 | S_2 | S_2,0.354,0.0,0.0,0.0,0.0
CB_2 | CB_2 | CB_3 | DI_2 | DI_2 | ED_0 | ED_3 | LB_0 | LB_1 | S_1 | S_2,0.556,0.0,0.0,0.0,0.0
CB_1 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.494,0.0,0.0,0.0
CB_1 | CB_4 | DI_1 | DI_2 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.635,0.0,0.0,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.849,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.308,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_1 | ED_1 | LB_0 | LB_0 | LB_1 | S_1 | S_4,0.0,0.0,0.466,0.0,0.0
CB_1 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.368,0.0,0.0
CB_1 | CB_4 | CB_4 | DI_2 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.326,0.0,0.0,0.0,0.0
CB_1 | CB_4 | CB_4 | ED_0 | ED_0 | ED_1 | ED_1 | LB_1 | S_1 | S_2 | S_4,0.0,0.275,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_2 | ED_0 | ED_0 | ED_2 | LB_1 | LB_3 | S_4 | S_4,0.051,0.397,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.376,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_1 | LB_0 | S_1 | S_2 | S_2,0.365,0.0,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_1 | LB_1 | S_4 | S_4 | S_4,0.0,0.0,0.301,0.0,0.0
CB_2 | CB_4 | CB_4 | ED_0 | ED_0 | ED_0 | ED_2 | LB_1 | LB_3 | S_4 | S_4,0.0,0.267,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_2 | ED_0 | ED_1 | ED_1 | LB_1 | S_2 | S_4 | S_4,0.0,0.0,0.353,0.0,0.0
CB_2 | CB_4 | DI_1 | DI_1 | ED_1 | ED_3 | LB_1 | LB_1 | LB_2 | S_0 | S_4,0.0,0.0,0.0,0.371,0.0
CB_2 | CB_4 | DI_0 | DI_2 | DI_2 | ED_0 | ED_3 | LB_1 | LB_2 | S_1 | S_2,0.0,0.0,1.022,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_1 | ED_0 | ED_0 | ED_2 | LB_1 | LB_3 | S_4 | S_4,0.0,0.332,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_1 | DI_2 | ED_1 | ED_1 | LB_0 | S_1 | S_2 | S_2,0.421,0.0,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_1 | DI_1 | ED_1 | ED_3 | LB_1 | LB_1 | S_0 | S_4,0.0,0.0,0.0,0.504,0.0
CB_2 | CB_4 | CB_4 | DI_1 | DI_1 | ED_3 | ED_3 | LB_1 | LB_1 | S_0 | S_4,0.0,0.0,0.0,0.388,0.0
CB_2 | CB_4 | CB_4 | DI_1 | DI_2 | ED_0 | ED_2 | LB_1 | LB_3 | S_4 | S_4,0.0,0.332,0.0,0.0,0.0
CB_2 | CB_4 | CB_4 | DI_0 | ED_1 | ED_1 | ED_3 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.366,0.0
CB_2 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_0 | LB_1 | S_2 | S_2 | S_4,0.0,0.0,0.301,0.0,0.0
CB_2 | CB_4 | DI_2 | DI_2 | DI_3 | ED_0 | LB_0 | LB_3 | LB_3 | S_1 | S_2,0.0,0.364,0.0,0.0,0.0
CB_2 | CB_4 | DI_2 | DI_2 | DI_3 | ED_0 | ED_1 | LB_0 | LB_3 | S_1 | S_2,0.0,0.251,0.0,0.0,0.0
CB_2 | CB_4 | DI_2 | DI_2 | DI_3 | ED_0 | ED_3 | LB_1 | LB_1 | S_1 | S_4,0.0,0.0,0.271,0.0,0.0
CB_2 | CB_4 | DI_2 | DI_2 | DI_3 | ED_0 | ED_0 | LB_0 | LB_3 | S_1 | S_2,0.0,0.769,0.0,0.0,0.0
CB_2 | CB_4 | DI_2 | DI_2 | DI_2 | ED_0 | ED_0 | LB_0 | LB_3 | S_1 | S_2,0.0,0.324,0.0,0.0,0.0
CB_2 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_1 | LB_3 | S_2 | S_2 | S_4,0.0,0.0,0.0,0.388,0.0
CB_2 | CB_4 | DI_2 | DI_3 | DI_3 | ED_0 | ED_1 | LB_1 | S_2 | S_2 | S_4,0.0,0.0,0.0,0.504,0.0
CB_3 | CB_4 | DI_1 | DI_2 | ED_2 | ED_3 | LB_1 | LB_1 | S_1 | S_1 | S_2,0.0,0.0,0.0,0.288,0.0
CB_3 | CB_4 | DI_2 | DI_2 | DI_3 | ED_0 | LB_1 | LB_1 | LB_2 | S_1 | S_2,0.337,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_0 | DI_0 | DI_1 | ED_1 | ED_3 | LB_0 | LB_1 | S_2 | S_4,0.0,0.275,0.0,0.0,0.0
CB_3 | CB_4 | DI_2 | DI_2 | ED_1 | ED_3 | LB_0 | LB_1 | S_2 | S_2 | S_4,0.0,0.0,0.271,0.0,0.0
CB_4 | CB_4 | DI_0 | DI_0 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_4 | S_4,0.0,0.0,0.0,0.277,0.0
CB_2 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_1 | LB_1 | S_2 | S_2 | S_4,0.0,0.0,0.03,0.527,0.0
CB_3 | CB_4 | DI_0 | DI_2 | DI_2 | ED_1 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.34,0.0,0.0,0.0
CB_2 | CB_4 | DI_2 | DI_3 | ED_0 | ED_1 | LB_0 | LB_1 | S_1 | S_2 | S_4,0.0,0.0,0.286,0.0,0.0
CB_4 | CB_4 | DI_0 | DI_2 | DI_3 | ED_1 | ED_1 | LB_0 | LB_0 | S_0 | S_4,0.0,0.275,0.0,0.0,0.0
CB_4 | CB_4 | DI_0 | DI_2 | DI_2 | ED_1 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.348,0.0,0.0,0.0
CB_4 | CB_4 | DI_0 | DI_0 | ED_0 | ED_1 | LB_1 | LB_1 | LB_R | S_4 | S_4,0.0,0.0,0.271,0.0,0.0
CB_4 | CB_4 | DI_0 | DI_3 | ED_0 | ED_0 | LB_0 | LB_0 | S_2 | S_4 | S_4,0.0,0.267,0.0,0.0,0.0
CB_4 | CB_4 | DI_0 | DI_3 | ED_1 | ED_3 | LB_0 | LB_1 | S_2 | S_4 | S_4,0.371,0.0,0.023,0.0,0.0
CB_4 | CB_4 | DI_0 | ED_1 | ED_1 | ED_3 | LB_0 | S_1 | S_2 | S_4 | S_4,0.337,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_1 | DI_2 | DI_3 | ED_0 | ED_0 | LB_0 | LB_1 | S_0 | S_4,0.303,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_1 | DI_2 | ED_1 | ED_3 | LB_0 | LB_1 | S_2 | S_2 | S_4,0.36,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_1 | DI_2 | ED_3 | ED_3 | LB_0 | LB_3 | LB_3 | S_0 | S_1,0.315,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_1 | DI_3 | ED_1 | ED_3 | LB_0 | LB_1 | S_2 | S_2 | S_4,0.264,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_2 | DI_2 | DI_2 | ED_0 | ED_3 | LB_0 | LB_0 | S_4 | S_4,0.281,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_2 | DI_2 | DI_3 | ED_1 | LB_1 | LB_1 | LB_2 | S_1 | S_2,0.315,0.0,0.0,0.0,0.0
CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_0 | LB_1 | LB_1 | S_1 | S_2 | S_4,0.0,0.0,0.398,0.0,0.0
CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | ED_1 | LB_0 | LB_1 | S_1 | S_4,0.0,0.445,0.0,0.0,0.0
CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | ED_2 | LB_1 | LB_1 | S_2 | S_4,0.0,0.0,0.0,0.294,0.0
CB_4 | CB_4 | DI_2 | DI_2 | ED_0 | ED_1 | LB_1 | LB_1 | S_1 | S_2 | S_4,0.0,0.0,0.496,0.0,0.0
